country,PC1,PC2,cluster
Tajikistan,36.28711618266933,-309.41626482683824,0
Thailand,280.9934228706156,174.98290917263103,1
"Macedonia, FYR",-507.1561602472846,71.19752124115674,0
Timor-Leste,1618.3647954089352,428.24433977276357,2
Togo,2082.653640950373,-181.8240541597344,2
Tokelau,-461.41459518773223,167.52840591664025,0
Tonga,-609.3690341983221,-3.622568600157199,0
Trinidad and Tobago,-703.4423012075184,-13.952060652096472,0
Tunisia,-607.8907041526468,21.930936994870386,0
Turkey,-527.5355459912454,40.88697916279883,0
Turkmenistan,-332.2942270350378,-25.51150400816499,0
Turks and Caicos Islands,-654.6734343473976,12.329310008009886,0
Tuvalu,1075.3168063858716,366.6661712493048,1
Uganda,888.983117310978,-267.15739676881606,1
Ukraine,-354.2113348026803,-114.47597194498267,0
United Arab Emirates,-633.1224264240338,11.34869232523776,0
United Kingdom,-729.1960304509277,-18.052449286792562,0
Tanzania,567.0512237254129,-263.27208963164844,1
Virgin Islands (U.S.),-682.788717238729,-0.4027097447018409,0
United States of America,-749.0431405373934,-9.32669345770811,0
Uruguay,-650.5621522460193,-3.484979874411375,0
Uzbekistan,-225.19925879501517,-89.02760644752644,0
Vanuatu,24.276629797263546,215.98670126022233,0
Venezuela,-596.3266909828999,-10.524192612040654,0
Viet Nam,435.56020848718333,184.32437360436765,1
Wallis et Futuna,-231.395787253896,123.07699274456657,0
West Bank and Gaza,-585.2254142562622,14.463481772855111,0
Yemen,59.25631055812871,177.53694829548004,0
Zambia,1488.3180121547916,-15.246685977691065,2
Zimbabwe,1398.7856626227256,-482.43062782902086,1
